"city","state_code","median_sale_price"
"BEVERLY HILLS","CA","1237500"
"BEVERLY HILLS","CA","2500000"
"BEVERLY HILLS","CA","2787500"
"BEVERLY HILLS","CA","5650000"
"BEVERLY HILLS","CA","2985000"
"BEVERLY HILLS","CA","3747500"
"BEVERLY HILLS","CA","4650000"
"BEVERLY HILLS","CA","1525000"
"BEVERLY HILLS","CA","1150000"
"BEVERLY HILLS","CA","1467500"
"BEVERLY HILLS","CA","4055000"
"BEVERLY HILLS","CA","5741750"
"BEVERLY HILLS","CA","1440000"
"BEVERLY HILLS","CA","750000"
"BEVERLY HILLS","CA","7000000"
"BEVERLY HILLS","CA","9150000"
"BEVERLY HILLS","CA","7350000"
"BEVERLY HILLS","CA","2600000"
"BEVERLY HILLS","CA","2700000"
"BEVERLY HILLS","CA","6500000"
"BEVERLY HILLS","CA","1650000"
"BEVERLY HILLS","CA","3375000"
"BEVERLY HILLS","CA","2200000"
"BEVERLY HILLS","CA","5787500"
"BEVERLY HILLS","CA","1647000"
"BEVERLY HILLS","CA","1355000"
"BEVERLY HILLS","CA","5100000"
"BEVERLY HILLS","CA","1200000"
"BEVERLY HILLS","CA","2298000"
"BEVERLY HILLS","CA","4875000"
"BEVERLY HILLS","CA","3120000"
"BEVERLY HILLS","CA","7875000"
"BEVERLY HILLS","CA","3225000"
"BEVERLY HILLS","CA","1400000"
"BEVERLY HILLS","CA","6436500"
"BEVERLY HILLS","CA","957500"
"BEVERLY HILLS","CA","1150000"
"BEVERLY HILLS","CA","3450000"
"BEVERLY HILLS","CA","3475000"
"BEVERLY HILLS","CA","1710000"
"BEVERLY HILLS","CA","1475000"
"BEVERLY HILLS","CA","1330000"
"BEVERLY HILLS","CA","1878000"
"BEVERLY HILLS","CA","1650000"
"BEVERLY HILLS","CA","2990500"
"BEVERLY HILLS","CA","4700000"
"BEVERLY HILLS","CA","3250000"
"BEVERLY HILLS","CA","1899000"
"BEVERLY HILLS","CA","3350500"
"BEVERLY HILLS","CA","2911000"
"BEVERLY HILLS","CA","925000"
"BEVERLY HILLS","CA","1212500"
"BEVERLY HILLS","CA","8250000"
"BEVERLY HILLS","CA","2390000"
"BEVERLY HILLS","CA","2395000"
"BEVERLY HILLS","CA","1078000"
"BEVERLY HILLS","CA","2100000"
"BEVERLY HILLS","CA","6050000"
"BEVERLY HILLS","CA","2242500"
"BEVERLY HILLS","CA","6400000"
"BEVERLY HILLS","CA","3092500"
"BEVERLY HILLS","CA","2425000"
"BEVERLY HILLS","CA","3887500"
"BEVERLY HILLS","CA","3560250"
"BEVERLY HILLS","CA","2100000"
"BEVERLY HILLS","CA","1275250"
"BEVERLY HILLS","CA","5212500"
"BEVERLY HILLS","CA","4200000"
"BEVERLY HILLS","CA","2600000"
"BEVERLY HILLS","CA","9150000"
"BEVERLY HILLS","CA","1420000"
"BEVERLY HILLS","CA","2000000"
"BEVERLY HILLS","CA","2310000"
"BEVERLY HILLS","CA","7625000"
"BEVERLY HILLS","CA","4107500"
"BEVERLY HILLS","CA","2715000"
"BEVERLY HILLS","CA","4500000"
"BEVERLY HILLS","CA","6056250"
"BEVERLY HILLS","CA","1920000"
"BEVERLY HILLS","CA","4800000"
"BEVERLY HILLS","CA","9100000"
"BEVERLY HILLS","CA","1788000"
"BEVERLY HILLS","CA","3419000"
"BEVERLY HILLS","CA","3858000"
"BEVERLY HILLS","CA","2100000"
"BEVERLY HILLS","CA","1040000"
"BEVERLY HILLS","CA","5600000"
"BEVERLY HILLS","CA","4045000"
"BEVERLY HILLS","CA","1250000"
"BEVERLY HILLS","CA","2000000"
"BEVERLY HILLS","CA","7375000"
"BEVERLY HILLS","CA","1200000"
"BEVERLY HILLS","CA","1053000"
"BEVERLY HILLS","CA","2860000"
"BEVERLY HILLS","CA","2055000"
"BEVERLY HILLS","CA","3319000"
"BEVERLY HILLS","CA","3312500"
"BEVERLY HILLS","CA","3193750"
"BEVERLY HILLS","CA","650000"
"BEVERLY HILLS","CA","2769000"
"BEVERLY HILLS","CA","1691500"
"BEVERLY HILLS","CA","2775000"
"BEVERLY HILLS","CA","7060000"
"BEVERLY HILLS","CA","1067500"
"BEVERLY HILLS","CA","1707500"
